symbol,date,close,rsi,recommendation
AAPL,2026-07-28,340.08,68.9,BUY
MSFT,2026-07-28,393.35,51.74,BUY
GOOGL,2026-07-28,333.71,40.96,SELL
AMZN,2026-07-28,230.86,36.54,SELL
META,2026-07-28,593.41,43.4,SELL
NVDA,2026-07-28,197.01,42.95,SELL
TSLA,2026-07-28,307.44,27.03,BUY
INTC,2026-07-28,86.3,27.29,BUY
AMD,2026-07-28,354.21,74.28,SELL
IBM,2026-07-28,227.49,42.56,SELL
ORCL,2026-07-28,119.94,32.72,BUY
NFLX,2026-07-28,72.39,46.4,BUY
PLTR,2026-07-28,123.53,44.5,SELL
SNOW,2026-07-28,270.11,60.62,SELL
SHOP,2026-07-28,130.28,62.04,BUY
COIN,2026-07-28,167.9,53.01,BUY
ROKU,2026-07-28,143.91,61.82,SELL
U,2026-07-28,31.83,61.82,SELL
CRWD,2026-07-28,181.8,46.39,SELL
ZS,2026-07-28,151.63,57.79,BUY
RIVN,2026-07-28,16.69,49.22,SELL
LCID,2026-07-28,7.9,63.65,BUY
BTC-USD,2026-07-28,63894.16,48.5,SELL
