symbol,date,close,rsi,bb_position,macd_hist,recommendation
AAPL,2025-12-17,271.84,45.19,INSIDE,-1.4384,HOLD
TSLA,2025-12-17,467.26,58.42,INSIDE,4.7043,HOLD
MSFT,2025-12-17,476.12,40.79,INSIDE,0.1021,HOLD
BTC,2025-12-18,87147.54,40.96,INSIDE,-71.1118,HOLD
GOOGL,2025-12-17,296.72,45.2,INSIDE,-3.7112,HOLD
AAPL,2026-01-07,260.33,27.65,BELOW,-1.6571,BUY
TSLA,2026-01-07,431.41,41.46,INSIDE,-6.2797,HOLD
MSFT,2026-01-07,483.47,48.9,INSIDE,0.2308,BUY
BTC,2026-01-08,90293.73,51.09,INSIDE,530.361,BUY
GOOGL,2026-01-07,321.98,64.17,INSIDE,-0.1702,HOLD
